Company Name, ,Class 10 Percentage,Class 12 Percentage,Graduation Percentage,Degree,Additional Qualifications,Extra Courses,Specialisation,Languages Known,Skills,Past Experience (months),Preferred Work Location,Achievements,Projects,Competitions,Publications,Patents,Internship Stipend (?/month),Internship Duration (months),Department,Internship Type,Contact Email,Contact Phone,Application Deadline
ZERODHA BROKING LIMITED,"Ahmedabad, Gujarat",64,61.83,80.67,B.Sc.,Oracle Certified,Advanced Excel; NPTEL: Machine Learning,Mechanical,Kannada,Python; Java,0,"Gurugram, Haryana",Internship at local startup,E-commerce recommendation engine,Math Olympiad State Level,Journal article on Renewable Energy,Patent pending on Algorithm,24286,9,HR,Hybrid,dharmajan01@rajagopal.org,7736589318,2026-02-24
GODREJ CONSUMER PRODUCTS LIMITED,"Kolkata, West Bengal",61,58.43,65.98,B.A.,Cisco CCNA,,Chemical,Kannada; Tamil,Python; SQL; JavaScript,0,"Hyderabad, Telangana",Won college hackathon,E-commerce recommendation engine,None,Conference Paper on ML,No patents,21954,7,Consulting,Onsite,mirayamagar@choudhry.com,1995199939,2025-12-21
MANAPPURAM FINANCE LIMITED,"Noida, Uttar Pradesh",97,80.55,52.51,B.Tech,Lean Six Sigma Yellow Belt,None,Electronics,Gujarati,HTML/CSS; Customer Service; Communication; SQL; C++,24,"Chennai, Tamil Nadu",No notable achievements,Supply chain dashboard,Coding Contest Top 10,Conference Paper on ML,Patent pending on Algorithm,5998,7,Finance,Onsite,hridaanuppal@wason.com,999724136,2026-01-19
SIEMENS LIMITED,"Chennai, Tamil Nadu",63,77.12,52.71,B.A.,Lean Six Sigma Yellow Belt,,Electronics,Oriya; Bengali,Problem Solving; Sales; Python; HTML/CSS; Java,0,"Gurugram, Haryana",Published a project report,Sales forecasting model,Hackathon Winner,Conference Paper on ML,No patents,21749,4,Design,Hybrid,gouryuvaan@sehgal.net,4503137094,2025-11-26
HDFC ASSET MANAGEMENT COMPANY LIMITED,"Kolkata, West Bengal",81,75.77,84.98,B.Com,Certified Data Analyst,,Biotechnology,Punjabi,Sales; MS Excel; Java; C++,0,"Kolkata, West Bengal",Internship at local startup,Chatbot for FAQs,None,Conference Paper on ML,Patent on Process Optimization,11053,8,HR,Remote,kiaan16@ramanathan.org,9079523256,2025-12-19
PIDILITE INDUSTRIES LIMITED,"Lucknow, Uttar Pradesh",97,77.36,85.61,B.E.,Lean Six Sigma Yellow Belt,,Mechanical,Hindi; Telugu,SQL; Customer Service,24,"Noida, Uttar Pradesh",No notable achievements,NLP sentiment analysis on reviews,None,No publications,No patents,10557,9,IT,Remote,routvidur@iyengar.com,402526660,2025-11-11
MPHASIS LIMITED,"Bhopal, Madhya Pradesh",85,66.75,67.85,B.Com,None,IBM: Data Analyst,Data Science,Malayalam; Hindi,Tableau; Marketing; Python; R; C++,24,"Kolkata, West Bengal",Won college hackathon,Energy consumption optimization project,None,Whitepaper on Supply Chain,Patent on Process Optimization,30219,2,Finance,Remote,gjaggi@sampath.biz,4031688168,2026-01-29
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LIMITED,"Bengaluru, Karnataka",72,75.2,69.54,B.Tech,Financial Modeling Certificate,,Finance,English,Problem Solving; Sales; SQL; Data Analysis,0,"Bhopal, Madhya Pradesh",Published a project report,Sales forecasting model,None,Journal article on Renewable Energy,Patent on Sensor Design,6730,5,Operations,Remote,pranay98@rattan.com,8512101441,2026-01-19
TANJORE POWER LIMITED,"Ahmedabad, Gujarat",86,55.15,51.43,B.Com,Oracle Certified,,Electronics,English; Tamil; Malayalam,Tableau; JavaScript; R; Python,0,"Gurugram, Haryana",Published a project report,Energy consumption optimization project; Supply chain dashboard,Business Plan Runner-up,Conference Paper on ML,No patents,27056,2,Data Analytics,Hybrid,doctoraradhya@loyal.com,98068549,2025-12-22
CONTAINER CORPORATION OF INDIA LIMITED,"Jaipur, Rajasthan",69,87.75,74.17,B.E.,Financial Modeling Certificate,None,Chemical,Telugu,Power BI; Tableau; Problem Solving; Python; Customer Service,12,"Kolkata, West Bengal",Developed a forecasting model,Chatbot for FAQs,Coding Contest Top 10,Magazine article on Finance,Patent on Sensor Design,28642,6,HR,Remote,bchhabra@cheema.com,75673367,2026-01-01
CHAMBAL FERTILISERS AND CHEMICALS LIMITED,"New Delhi, Delhi",80,69.62,86.58,B.Com,Certified Data Analyst,NPTEL: Machine Learning,Finance,Kannada; English,Python; Machine Learning; Marketing; HTML/CSS; C++,0,"Pune, Maharashtra",Won college hackathon,IoT based monitoring system,Math Olympiad State Level,Conference Paper on ML,Patent pending on Algorithm,25048,3,Engineering,Hybrid,ojas49@kalita-gola.com,7700756844,2025-10-24
ADANI HARBOUR SERVICES LIMITED,"Pune, Maharashtra",99,90.14,88.09,B.A.,Lean Six Sigma Yellow Belt,AWS Fundamentals; Udemy: Web Development,Biotechnology,Gujarati; Telugu,Marketing; R; Tableau; HTML/CSS; JavaScript,24,"New Delhi, Delhi",Published a project report,IoT based monitoring system; Mobile app for local services,Coding Contest Top 10,Journal article on Renewable Energy,No patents,10515,3,Operations,Hybrid,chakrabartisaira@venkatesh.org,4220316359,2026-02-09
MANKIND PHARMA LIMITED,"Thiruvananthapuram, Kerala",94,95.71,74.46,Bsc.,None,IBM: Data Analyst; Udemy: Web Development,Civil,English; Marathi; Hindi,HTML/CSS; Customer Service,24,"Lucknow, Uttar Pradesh",Internship at local startup,Mobile app for local services,Case Study Competition,Magazine article on Finance,Patent pending on Algorithm,6979,9,Operations,Onsite,osubramanian@kaul-gola.com,4939981340,2026-01-31
YARROW INFRASTRUCTURE PRIVATE LIMITED,"Mumbai, Maharashtra",97,67.34,83.05,B.Com,Cisco CCNA,None,Biotechnology,Gujarati,Java; Customer Service,24,"Hyderabad, Telangana",Won college hackathon,Energy consumption optimization project; Customer segmentation analysis,Case Study Competition,Journal article on Renewable Energy,Patent on Process Optimization,31833,9,Data Analytics,Hybrid,qagrawal@varma.net,8113322224,2025-10-18
RUNGTA MINES LIMITED,"Noida, Uttar Pradesh",81,86.47,84.62,Bsc.,Financial Modeling Certificate,None,Marketing,Marathi; Bengali,Python; Customer Service; SQL,12,"Noida, Uttar Pradesh",Internship at local startup,Mobile app for local services; E-commerce recommendation engine,Math Olympiad State Level,Journal article on Renewable Energy,Patent on Process Optimization,11168,10,Design,Onsite,aggarwalkabir@dugar.biz,2224694979,2025-10-20
SBI LIFE INSURANCE COMPANY LIMITED,"Chennai, Tamil Nadu",80,80.02,87.8,B.Com,Cisco CCNA,None,Biotechnology,English; Bengali; Gujarati,MS Excel; Tableau; Sales,0,"Hyderabad, Telangana",Internship at local startup,Supply chain dashboard,Business Plan Runner-up,Magazine article on Finance,No patents,6697,8,Finance,Hybrid,zainakothari@bhat.biz,1697822427,2026-01-09
COROMANDEL INTERNATIONAL LIMITED,"Chennai, Tamil Nadu",77,67.03,82.56,B.A.,Cisco CCNA,,Civil,Hindi; Oriya; English,Tableau; Marketing,12,"Kolkata, West Bengal",Won college hackathon,Chatbot for FAQs,Coding Contest Top 10,No publications,No patents,30685,2,Design,Onsite,kiaan52@gole.com,6454351906,2025-12-29
HONDA MOTORCYCLE AND SCOOTER INDIA PVT LTD,"Visakhapatnam, Andhra Pradesh",69,67.56,73.79,B.A.,Certified Data Analyst,NPTEL: Machine Learning; Google: Digital Marketing,Electronics,Bengali,Sales; JavaScript; Communication; Java; SQL,0,"Hyderabad, Telangana",Internship at local startup,Chatbot for FAQs,Hackathon Winner,Conference Paper on ML,No patents,21544,8,R&D,Onsite,trivedinitara@randhawa-dada.info,202686997,2026-03-01
APPLE INDIA PRIVATE LIMITED,"Mumbai, Maharashtra",75,69.12,79.14,B.A.,None,Udemy: Web Development,Data Science,Telugu,Marketing; Communication; Power BI,12,"Visakhapatnam, Andhra Pradesh",Internship at local startup,Supply chain dashboard; Chatbot for FAQs,Design Challenge Participant,Magazine article on Finance,Patent on Sensor Design,22257,9,Data Analytics,Onsite,nehmatbhalla@basu.com,4593119204,2025-10-31
SUN PHARMACEUTICAL INDUSTRIES LIMITED,"Bengaluru, Karnataka",95,90.27,87.54,B.Sc.,Lean Six Sigma Yellow Belt,,Biotechnology,Bengali; Gujarati,Communication; C++,12,"Gurugram, Haryana",Published a project report,Chatbot for FAQs; NLP sentiment analysis on reviews,Coding Contest Top 10,Conference Paper on ML,Patent on Process Optimization,30936,10,Consulting,Remote,mishti08@chaudhari-dada.info,1995843407,2026-01-31
BAJAJ ALLIANZ GENERAL INSURANCE COMPANY LIMITED,"Visakhapatnam, Andhra Pradesh",87,99.66,73.34,B.Com,None,IBM: Data Analyst,Chemical,Hindi; Kannada; Tamil,Python; Sales,12,"Kolkata, West Bengal",Published a project report,Supply chain dashboard,Case Study Competition,Whitepaper on Supply Chain,Patent on Process Optimization,14904,4,Data Analytics,Remote,karsana@sura.com,5528663260,2025-11-27
BOSCH LIMITED,"New Delhi, Delhi",87,96.64,89.16,B.A.,Certified Data Analyst,Udemy: Web Development; Google: Digital Marketing,Data Science,Marathi,C++; Marketing,12,"Visakhapatnam, Andhra Pradesh",Won college hackathon,E-commerce recommendation engine; Sales forecasting model,Math Olympiad State Level,Journal article on Renewable Energy,No patents,27181,9,Consulting,Hybrid,khareinaaya@mane.com,8878070,2026-02-11
JOHNSON & JOHNSON PRIVATE LIMITED,"Bengaluru, Karnataka",72,60.79,85.1,Bsc.,Financial Modeling Certificate,NPTEL: Machine Learning,Mechanical,Hindi,Power BI; MS Excel; HTML/CSS; Sales,6,"Kolkata, West Bengal",No notable achievements,Customer segmentation analysis; E-commerce recommendation engine,Business Plan Runner-up,Whitepaper on Supply Chain,Patent pending on Algorithm,15292,7,Engineering,Remote,cherianmamooty@shetty-johal.org,7282676580,2025-10-28
JINDAL ALUMINIUM LIMITED.,"Lucknow, Uttar Pradesh",81,70.8,85,B.A.,None,Coursera: Data Science; Advanced Excel,Data Science,English,Machine Learning; JavaScript; Sales; Communication; Python,6,"Gurugram, Haryana",Internship at local startup,Mobile app for local services; Chatbot for FAQs,Design Challenge Participant,Conference Paper on ML,Patent pending on Algorithm,22392,7,Engineering,Onsite,pari99@madan.com,60713,2025-10-23
BALKRISHNA INDUSTRIES LIMITED,"Thiruvananthapuram, Kerala",97,92.08,57.15,B.Com,Oracle Certified,SAP Basics; Coursera: Data Science,Computer Science,Kannada,JavaScript; Customer Service; Machine Learning,0,"Jaipur, Rajasthan",Internship at local startup,Chatbot for FAQs; IoT based monitoring system,Design Challenge Participant,Whitepaper on Supply Chain,No patents,19758,2,Data Analytics,Hybrid,divitsamra@mane-sankar.net,3563872580,2026-02-18
THDC INDIA LIMITED,"Bhopal, Madhya Pradesh",72,67.31,62.55,B.A.,Certified Data Analyst,Google: Digital Marketing; Advanced Excel,Marketing,Gujarati,Data Analysis; R; HTML/CSS; Python,12,"Chennai, Tamil Nadu",Published a project report,IoT based monitoring system; Chatbot for FAQs,Math Olympiad State Level,Journal article on Renewable Energy,No patents,34549,1,HR,Remote,hiranraval@sachdeva.biz,2558454236,2025-11-27
GOOGLE IT SERVICES INDIA PRIVATE LIMITED,"Ahmedabad, Gujarat",75,78.97,69.81,BBA,Financial Modeling Certificate,None,Chemical,Gujarati,SQL; Java,12,"Kolkata, West Bengal",Developed a forecasting model,E-commerce recommendation engine; Energy consumption optimization project,Business Plan Runner-up,No publications,No patents,16157,4,Consulting,Hybrid,devanshdara@mandal-dasgupta.net,9620816972,2026-01-30
USV PRIVATE LIMITED,"Lucknow, Uttar Pradesh",89,81.93,73.97,B.Tech,Cisco CCNA,NPTEL: Machine Learning,Electrical,Telugu; Bengali,Sales; Power BI; Problem Solving,0,"Visakhapatnam, Andhra Pradesh",Developed a forecasting model,Energy consumption optimization project,Design Challenge Participant,No publications,Patent on Sensor Design,9017,11,Operations,Onsite,bordefarhan@arya.org,982192849,2025-10-15
MACLEODS PHARMACEUTICALS LTD,"Ahmedabad, Gujarat",70,71.66,58.52,Bsc.,Lean Six Sigma Yellow Belt,None,Electrical,English,Marketing; Machine Learning; Communication,6,"Lucknow, Uttar Pradesh",Developed a forecasting model,Mobile app for local services,Hackathon Winner,Magazine article on Finance,Patent on Sensor Design,13484,6,Marketing,Hybrid,rajagopalansaksham@chaudhary.com,1470096654,2026-02-19
HDB FINANCIAL SERVICES LIMITED,"Bhopal, Madhya Pradesh",63,74.44,55.65,B.Tech,Oracle Certified,None,Marketing,Marathi,Communication; Tableau; SQL; Data Analysis,0,"Hyderabad, Telangana",Published a project report,Customer segmentation analysis; Mobile app for local services,None,Journal article on Renewable Energy,No patents,5073,9,Marketing,Onsite,keeraradhya@mallick-mane.com,8340667744,2025-12-21
MRF LIMITED,"Hyderabad, Telangana",76,90.12,66.97,B.Com,Financial Modeling Certificate,,Mechanical,Marathi; Tamil; Malayalam,Data Analysis; Python; MS Excel; Customer Service,12,"Chennai, Tamil Nadu",Won college hackathon,Customer segmentation analysis; Mobile app for local services,Coding Contest Top 10,Magazine article on Finance,No patents,27840,5,Design,Remote,kavyachakrabarti@sem.com,6357660090,2026-03-02
TATA MOTORS LIMITED,"Bhopal, Madhya Pradesh",76,90.95,50.15,B.Tech,Certified Data Analyst,,Finance,Punjabi,HTML/CSS; Power BI; Java,0,"Jaipur, Rajasthan",Internship at local startup,Supply chain dashboard; Chatbot for FAQs,Business Plan Runner-up,Conference Paper on ML,No patents,12299,1,IT,Remote,onkar@varughese-sarna.biz,6261026298,2026-01-14
COLGATE-PALMOLIVE (INDIA) LIMITED,"Noida, Uttar Pradesh",98,60.97,73.87,B.A.,Cisco CCNA,Advanced Excel; AWS Fundamentals,Electronics,Gujarati; Malayalam,Java; Machine Learning; SQL,0,"Bhopal, Madhya Pradesh",Internship at local startup,Mobile app for local services; NLP sentiment analysis on reviews,Coding Contest Top 10,Whitepaper on Supply Chain,Patent on Sensor Design,34979,3,Finance,Hybrid,zandra@gill-barad.com,7222490019,2025-12-11
ICICI SECURITIES LIMITED,"Thiruvananthapuram, Kerala",86,76.15,56.68,B.Sc.,Financial Modeling Certificate,IBM: Data Analyst; Google: Digital Marketing,Civil,Marathi; Bengali; Oriya,HTML/CSS; C++; Data Analysis; JavaScript,24,"Jaipur, Rajasthan",Won college hackathon,E-commerce recommendation engine; Energy consumption optimization project,None,Magazine article on Finance,Patent pending on Algorithm,27067,7,Operations,Remote,dishani69@sethi-bhardwaj.com,5080631126,2026-01-05
JCB INDIA LIMITED,"Bhopal, Madhya Pradesh",86,82.11,50.68,BBA,Cisco CCNA,Advanced Excel,Civil,Gujarati; Oriya; Malayalam,SQL; MS Excel,24,"Lucknow, Uttar Pradesh",Published a project report,IoT based monitoring system,Design Challenge Participant,Conference Paper on ML,Patent on Sensor Design,24007,11,Consulting,Onsite,emirkadakia@kaur-jaggi.com,93282626,2025-11-12
DILIP BUILDCON LIMITED,"Lucknow, Uttar Pradesh",84,87.89,58.99,B.Com,Oracle Certified,AWS Fundamentals,Finance,Bengali; Malayalam; Tamil,C++; Customer Service; SQL,0,"Visakhapatnam, Andhra Pradesh",Developed a forecasting model,NLP sentiment analysis on reviews; IoT based monitoring system,None,Whitepaper on Supply Chain,No patents,14392,6,Finance,Remote,rbhavsar@seth-sheth.com,2580615762,2026-03-07
MARICO LIMITED,"Chennai, Tamil Nadu",95,77.72,50.45,Diploma,Lean Six Sigma Yellow Belt,Udemy: Web Development,Electronics,Tamil; Bengali,Marketing; Customer Service; HTML/CSS,6,"Mumbai, Maharashtra",No notable achievements,E-commerce recommendation engine; IoT based monitoring system,Design Challenge Participant,Whitepaper on Supply Chain,Patent on Process Optimization,232,7,HR,Remote,ebaral@tripathi.com,4611405040,2026-03-04
INTERNATIONAL TRACTORS LIMITED,"Ahmedabad, Gujarat",71,86.12,59.13,B.A.,Financial Modeling Certificate,,Computer Science,Bengali,Communication; Marketing,0,"Kolkata, West Bengal",Won college hackathon,Sales forecasting model; Automated invoice processing,Design Challenge Participant,Whitepaper on Supply Chain,Patent on Sensor Design,28922,9,Data Analytics,Onsite,piyadua@deep.com,1830928135,2026-01-25
POLYCAB INDIA LIMITED,"Jaipur, Rajasthan",79,67.04,53.07,Bsc.,Cisco CCNA,Advanced Excel,Computer Science,Punjabi; English; Oriya,JavaScript; R; Data Analysis; Customer Service,12,"Gurugram, Haryana",Won college hackathon,Mobile app for local services; IoT based monitoring system,Coding Contest Top 10,Whitepaper on Supply Chain,No patents,22662,8,Consulting,Remote,khannahiran@kar-sandal.com,4068663185,2025-12-17
DELOITTE CONSULTING INDIA PRIVATE LIMITED,"Visakhapatnam, Andhra Pradesh",60,76.5,61.3,B.E.,Oracle Certified,Udemy: Web Development; AWS Fundamentals,Mechanical,Oriya,Python; Machine Learning; Customer Service,24,"Thiruvananthapuram, Kerala",No notable achievements,IoT based monitoring system; Mobile app for local services,None,Conference Paper on ML,Patent on Sensor Design,27195,10,IT,Hybrid,dhanuksarma@kannan-ganesh.com,1830848699,2026-01-26
HSBC SOFTWARE DEVELOPMENT (INDIA) PRIVATE LIMITED,"Bengaluru, Karnataka",63,90.67,80.93,Diploma,Cisco CCNA,NPTEL: Machine Learning; Coursera: Data Science,Mechanical,Gujarati; Bengali,Marketing; Power BI; C++; HTML/CSS,12,"Bhopal, Madhya Pradesh",No notable achievements,Mobile app for local services,Math Olympiad State Level,Journal article on Renewable Energy,Patent on Sensor Design,11081,8,Design,Hybrid,bhattifaiyaz@tata-agarwal.com,1629265982,2026-03-07
TORRENT POWER LIMITED,"Lucknow, Uttar Pradesh",87,63.23,89.01,Bsc.,None,,Electrical,Malayalam; Gujarati; Telugu,Problem Solving; Power BI; SQL; Marketing; Tableau,0,"Lucknow, Uttar Pradesh",Internship at local startup,Mobile app for local services,None,Journal article on Renewable Energy,No patents,20309,4,Finance,Hybrid,horaahana@raval.biz,4227787988,2025-11-23
AUROBINDO PHARMA LTD,"Bhopal, Madhya Pradesh",1,90.57,78.94,Diploma,None,None,Mechanical,Tamil,C++; Sales,0,"Chennai, Tamil Nadu",Internship at local startup,Energy consumption optimization project; Supply chain dashboard,Hackathon Winner,Journal article on Renewable Energy,Patent on Sensor Design,18827,8,Data Analytics,Remote,hchakrabarti@atwal.biz,8187742,2025-11-15
RAIL VIKAS NIGAM LIMITED,"Chennai, Tamil Nadu",65,63.14,86.97,B.E.,None,NPTEL: Machine Learning,Data Science,Hindi; Telugu,Power BI; SQL,0,"Kolkata, West Bengal",Internship at local startup,E-commerce recommendation engine; IoT based monitoring system,None,Whitepaper on Supply Chain,Patent on Sensor Design,20309,2,Marketing,Onsite,ychauhan@sama.com,4993979295,2026-01-24
L G ELECTRONICS INDIA PRIVATE LIMITED,"Pune, Maharashtra",64,94.78,70.79,BBA,Lean Six Sigma Yellow Belt,Udemy: Web Development,Data Science,Gujarati; Punjabi,Problem Solving; HTML/CSS; Communication; SQL; Machine Learning,0,"Visakhapatnam, Andhra Pradesh",Won college hackathon,Chatbot for FAQs; NLP sentiment analysis on reviews,Business Plan Runner-up,Journal article on Renewable Energy,Patent on Process Optimization,27043,9,Operations,Remote,ratibera@dugar.com,9245645696,2025-12-21
INTEL TECHNOLOGY INDIA PRIVATE LIMITED,"Hyderabad, Telangana",98,77.3,80.69,Bsc.,Certified Data Analyst,,Biotechnology,Kannada; Punjabi,Problem Solving; SQL; Customer Service,0,"Ahmedabad, Gujarat",Developed a forecasting model,Automated invoice processing; IoT based monitoring system,Hackathon Winner,Magazine article on Finance,No patents,29275,2,Operations,Hybrid,kgaba@bava.com,61837303,2026-02-01
SUNDARAM FINANCE LIMITED,"Chennai, Tamil Nadu",77,94.5,70.13,Diploma,Certified Data Analyst,SAP Basics; Advanced Excel,Marketing,Marathi; Punjabi; Gujarati,Sales; HTML/CSS; Problem Solving; Customer Service; JavaScript,6,"Kolkata, West Bengal",Published a project report,E-commerce recommendation engine; Automated invoice processing,Hackathon Winner,No publications,Patent on Sensor Design,10060,6,R&D,Remote,arhaanmall@bali.com,8590114968,2025-11-25
ASHOK LEYLAND LIMITED,"Bengaluru, Karnataka",64,66.47,68.41,B.A.,Oracle Certified,Udemy: Web Development,Computer Science,Malayalam; Gujarati,HTML/CSS; Communication; Problem Solving; Power BI,0,"Mumbai, Maharashtra",Developed a forecasting model,Sales forecasting model,Case Study Competition,Whitepaper on Supply Chain,Patent on Sensor Design,16778,3,Marketing,Onsite,chadaanahi@dora.com,3838154420,2025-10-22
ALEMBIC PHARMACEUTICALS LIMITED,"Hyderabad, Telangana",95,87.46,77.65,Bsc.,Oracle Certified,Udemy: Web Development; SAP Basics,Mechanical,Bengali; Oriya; English,Customer Service; JavaScript; Java; R,6,"Jaipur, Rajasthan",No notable achievements,Mobile app for local services; IoT based monitoring system,Hackathon Winner,Journal article on Renewable Energy,Patent on Sensor Design,190,10,Design,Onsite,prisha@solanki.info,3113023552,2026-01-19
HAVELLS INDIA LIMITED,"Kolkata, West Bengal",64,74.47,55.24,B.A.,None,None,Mechanical,English,Power BI; Customer Service; Java,0,"Gurugram, Haryana",Internship at local startup,Supply chain dashboard; Mobile app for local services,Hackathon Winner,Magazine article on Finance,Patent pending on Algorithm,20619,7,Consulting,Onsite,sherevihaan@batta.net,1543437267,2026-01-19
EXIDE INDUSTRIES LIMITED,"Hyderabad, Telangana",1,58.27,52.13,Diploma,Certified Data Analyst,,Civil,English; Gujarati,Problem Solving; Power BI; Data Analysis; Tableau,0,"Chennai, Tamil Nadu",Won college hackathon,Sales forecasting model; Chatbot for FAQs,Hackathon Winner,Magazine article on Finance,Patent pending on Algorithm,5056,3,R&D,Remote,samarthmangat@lad-sen.com,892617270,2026-01-30
NIRMA LIMITED,"Kolkata, West Bengal",97,61.06,89.49,Diploma,Oracle Certified,,Computer Science,Malayalam,Python; Data Analysis,24,"Lucknow, Uttar Pradesh",Developed a forecasting model,E-commerce recommendation engine; Sales forecasting model,Hackathon Winner,No publications,Patent on Process Optimization,28143,2,Operations,Onsite,abrambandi@kade.com,1985635347,2026-02-10
INTAS PHARMACEUTICALS LIMITED,"Lucknow, Uttar Pradesh",95,81.71,54.22,B.A.,None,,Electrical,English; Gujarati; Hindi,Problem Solving; Tableau,24,"Visakhapatnam, Andhra Pradesh",Won college hackathon,Supply chain dashboard,Case Study Competition,Magazine article on Finance,Patent on Process Optimization,18403,6,Consulting,Remote,ishitarattan@tiwari-sha.net,4568458414,2025-12-01
ATC TELECOM INFRASTRUCTURE PRIVATE LIMITED,"Jaipur, Rajasthan",87,75.63,87.52,B.Com,Financial Modeling Certificate,,Chemical,Gujarati; Oriya,JavaScript; Communication; Power BI,6,"Bengaluru, Karnataka",Published a project report,Sales forecasting model; NLP sentiment analysis on reviews,Hackathon Winner,No publications,Patent on Sensor Design,28023,11,Marketing,Remote,osolanki@samra-dyal.biz,6061084259,2025-11-16
ADITYA BIRLA FINANCE LIMITED,"Hyderabad, Telangana",71,96.41,53.32,B.Sc.,Financial Modeling Certificate,AWS Fundamentals; Udemy: Web Development,Biotechnology,Marathi,Java; Machine Learning; Customer Service; Marketing,0,"New Delhi, Delhi",Won college hackathon,E-commerce recommendation engine,Design Challenge Participant,Whitepaper on Supply Chain,No patents,32506,4,Marketing,Onsite,wuppal@choudhary.com,5956685616,2026-01-11
JOHN DEERE INDIA PRIVATE LIMITED,"Pune, Maharashtra",88,55.94,74.83,B.A.,Lean Six Sigma Yellow Belt,Coursera: Data Science; AWS Fundamentals,Computer Science,Hindi; Gujarati; Oriya,HTML/CSS; Communication,12,"Visakhapatnam, Andhra Pradesh",Won college hackathon,NLP sentiment analysis on reviews,Business Plan Runner-up,Journal article on Renewable Energy,Patent on Process Optimization,25713,1,Design,Remote,obedi@devi.com,8583756578,2025-12-10
NHDC LIMITED,"New Delhi, Delhi",64,73.92,63.39,B.A.,Financial Modeling Certificate,,Chemical,Telugu,Data Analysis; Power BI; Customer Service,24,"Hyderabad, Telangana",Internship at local startup,Chatbot for FAQs; Supply chain dashboard,None,No publications,Patent on Sensor Design,281,8,R&D,Onsite,mohanlalben@korpal-sule.info,3472348854,2026-02-28
BHARTI TELEMEDIA LIMITED,"Visakhapatnam, Andhra Pradesh",70,69.42,75.41,B.Com,Certified Data Analyst,Advanced Excel,Marketing,Bengali; Telugu,Machine Learning; Python; JavaScript; SQL; HTML/CSS,0,"Lucknow, Uttar Pradesh",Internship at local startup,Sales forecasting model,Hackathon Winner,Conference Paper on ML,Patent on Process Optimization,15806,10,Operations,Remote,aliasawhney@date.com,5249097761,2025-12-15
SRF LIMITED,"Ahmedabad, Gujarat",79,72.88,59.37,B.E.,Certified Data Analyst,Coursera: Data Science; NPTEL: Machine Learning,Electrical,Kannada; Telugu,SQL; Sales,6,"Pune, Maharashtra",Developed a forecasting model,Automated invoice processing; IoT based monitoring system,None,Whitepaper on Supply Chain,Patent on Sensor Design,14126,9,Marketing,Remote,mammenaarush@rama-wali.info,3543622853,2025-12-24
YARDI SOFTWARE INDIA PRIVATE LIMITED,"Noida, Uttar Pradesh",71,67.02,71.8,B.A.,Certified Data Analyst,IBM: Data Analyst,Computer Science,Kannada; Marathi,MS Excel; Tableau; C++; HTML/CSS; Problem Solving,12,"Pune, Maharashtra",Won college hackathon,Supply chain dashboard,Case Study Competition,Conference Paper on ML,No patents,26441,7,HR,Hybrid,anaya95@devan-goyal.com,39493876,2025-11-21
CULVER MAX ENTERTAINMENT PRIVATE LIMITED,"Chennai, Tamil Nadu",72,76.46,72.43,B.Tech,Oracle Certified,Coursera: Data Science,Electrical,Hindi,Customer Service; C++; Marketing; Communication; Problem Solving,12,"Thiruvananthapuram, Kerala",Internship at local startup,Mobile app for local services; IoT based monitoring system,Business Plan Runner-up,Whitepaper on Supply Chain,Patent pending on Algorithm,17807,3,HR,Remote,aramanathan@barad.com,1634754228,2026-02-03
DHARAMPAL SATYAPAL LIMITED,"Visakhapatnam, Andhra Pradesh",1,92.03,72.46,B.Com,Lean Six Sigma Yellow Belt,,Biotechnology,Tamil; English; Hindi,Power BI; Machine Learning,12,"Noida, Uttar Pradesh",Published a project report,Supply chain dashboard,Case Study Competition,Whitepaper on Supply Chain,Patent on Process Optimization,31388,11,Design,Hybrid,nirvaanbail@saxena.com,1796210451,2026-03-07
BHILOSA INDUSTRIES PRIVATE LIMITED,"Lucknow, Uttar Pradesh",70,81.62,67.59,B.A.,Lean Six Sigma Yellow Belt,NPTEL: Machine Learning,Civil,Bengali; Gujarati; Oriya,Problem Solving; R; Tableau,0,"Chennai, Tamil Nadu",Won college hackathon,Supply chain dashboard; Sales forecasting model,None,Whitepaper on Supply Chain,Patent on Process Optimization,11062,7,HR,Remote,dalaldevansh@bahl-dua.org,1522243518,2026-01-10
J. K. CEMENT LIMITED.,"Kolkata, West Bengal",67,76.57,52.52,B.Sc.,Oracle Certified,Udemy: Web Development,Computer Science,Hindi,Marketing; HTML/CSS,0,"Noida, Uttar Pradesh",Developed a forecasting model,Energy consumption optimization project; Chatbot for FAQs,None,Whitepaper on Supply Chain,Patent on Process Optimization,25077,1,Engineering,Hybrid,ayesha72@badami.org,6996465815,2025-12-29
TVS MOTOR COMPANY LIMITED,"Lucknow, Uttar Pradesh",61,98.73,57.69,B.Tech,Oracle Certified,Udemy: Web Development,Mechanical,English; Oriya; Marathi,Power BI; JavaScript; R; Problem Solving; Customer Service,6,"Thiruvananthapuram, Kerala",Developed a forecasting model,NLP sentiment analysis on reviews; IoT based monitoring system,Case Study Competition,No publications,Patent on Sensor Design,11359,10,R&D,Hybrid,wsama@anand-anne.org,5941443267,2025-10-27
